datetime,Open,High,Low,Close,Adj Close,Volume,datetime_2
3/06/2019,123.849998,124.370003,119.010002,119.839996,114.941582,37983600,3/06/2019
4/06/2019,121.279999,123.279999,120.650002,123.160004,118.1259,29382600,4/06/2019
5/06/2019,124.949997,125.870003,124.209999,125.830002,120.686752,24926100,5/06/2019
6/06/2019,126.440002,127.970001,125.599998,127.82,122.595421,21459000,6/06/2019
7/06/2019,129.190002,132.25,128.259995,131.399994,126.029091,33885600,7/06/2019
10/06/2019,132.399994,134.080002,132,132.600006,127.180038,26477100,10/06/2019
11/06/2019,133.880005,134.240005,131.279999,132.100006,126.700485,23913700,11/06/2019
12/06/2019,131.399994,131.970001,130.710007,131.490005,126.115417,17092500,12/06/2019
13/06/2019,131.979996,133,131.559998,132.320007,126.911469,17200800,13/06/2019
14/06/2019,132.259995,133.789993,131.639999,132.449997,127.036201,17821700,14/06/2019
17/06/2019,132.630005,133.729996,132.529999,132.850006,127.419792,14517800,17/06/2019
18/06/2019,134.190002,135.240005,133.570007,135.160004,129.635391,25934500,18/06/2019
19/06/2019,135,135.929993,133.809998,135.690002,130.143738,23744400,19/06/2019
20/06/2019,137.449997,137.660004,135.720001,136.949997,131.352234,33042600,20/06/2019
21/06/2019,136.580002,137.729996,136.460007,136.970001,131.371384,36727900,21/06/2019
24/06/2019,137,138.399994,137,137.779999,132.148331,20628800,24/06/2019
25/06/2019,137.25,137.589996,132.729996,133.429993,127.976105,33327400,25/06/2019
26/06/2019,134.350006,135.740005,133.600006,133.929993,128.455658,23657700,26/06/2019
27/06/2019,134.139999,134.710007,133.509995,134.149994,128.666702,16557500,27/06/2019
28/06/2019,134.570007,134.600006,133.160004,133.960007,128.484467,30043000,28/06/2019
1/07/2019,136.630005,136.699997,134.970001,135.679993,130.13414,22613500,1/07/2019
2/07/2019,136.119995,136.589996,135.339996,136.580002,130.997391,15237800,2/07/2019
3/07/2019,136.800003,137.740005,136.289993,137.460007,131.841385,13629300,3/07/2019
5/07/2019,135.940002,137.330002,135.720001,137.059998,131.457718,18141100,5/07/2019
8/07/2019,136.399994,137.100006,135.369995,136.960007,131.361816,16779700,8/07/2019
9/07/2019,136,136.970001,135.800003,136.460007,130.882263,19953100,9/07/2019
10/07/2019,137.130005,138.580002,137.020004,137.850006,132.215454,24204400,10/07/2019
11/07/2019,138.199997,139.220001,137.869995,138.399994,132.742981,22327900,11/07/2019
12/07/2019,138.850006,139.130005,138.009995,138.899994,133.222549,18936800,12/07/2019
15/07/2019,139.440002,139.539993,138.460007,138.899994,133.222549,16651500,15/07/2019
16/07/2019,138.960007,139.050003,136.520004,137.080002,131.476929,22726100,16/07/2019
17/07/2019,137.699997,137.929993,136.220001,136.270004,130.700012,20211000,17/07/2019
18/07/2019,135.550003,136.619995,134.669998,136.419998,130.843887,30381800,18/07/2019
19/07/2019,140.220001,140.669998,136.449997,136.619995,131.03569,48992400,19/07/2019
22/07/2019,137.410004,139.190002,137.330002,138.429993,132.771744,25074900,22/07/2019
23/07/2019,139.759995,139.990005,138.029999,139.289993,133.596588,18034600,23/07/2019
24/07/2019,138.899994,140.740005,138.850006,140.720001,134.96814,20738300,24/07/2019
25/07/2019,140.429993,140.610001,139.320007,140.190002,134.459778,18356900,25/07/2019
26/07/2019,140.369995,141.679993,140.300003,141.339996,135.56279,19037600,26/07/2019
29/07/2019,141.5,141.509995,139.369995,141.029999,135.265457,16605900,29/07/2019
30/07/2019,140.139999,141.220001,139.800003,140.350006,134.613251,16846500,30/07/2019
31/07/2019,140.330002,140.490005,135.080002,136.270004,130.700012,38598800,31/07/2019
1/08/2019,137,140.940002,136.929993,138.059998,132.41684,40557500,1/08/2019
2/08/2019,138.089996,138.320007,135.259995,136.899994,131.30426,30791600,2/08/2019
5/08/2019,133.300003,133.929993,130.779999,132.210007,126.805984,42749600,5/08/2019
6/08/2019,133.800003,135.679993,133.210007,134.690002,129.184631,32696700,6/08/2019
7/08/2019,133.789993,135.649994,131.830002,135.279999,129.750473,33414500,7/08/2019
8/08/2019,136.600006,138.990005,135.929993,138.889999,133.212921,27496500,8/08/2019
9/08/2019,138.610001,139.380005,136.460007,137.710007,132.081207,23466700,9/08/2019
12/08/2019,137.070007,137.860001,135.240005,135.789993,130.239624,20484300,12/08/2019
13/08/2019,136.050003,138.800003,135,138.600006,132.934784,25154600,13/08/2019
14/08/2019,136.360001,136.919998,133.669998,133.979996,128.931534,32527300,14/08/2019
15/08/2019,134.389999,134.580002,132.25,133.679993,128.642883,28074400,15/08/2019
16/08/2019,134.880005,136.460007,134.720001,136.130005,131.000504,24449100,16/08/2019
19/08/2019,137.850006,138.550003,136.889999,138.410004,133.194641,24355700,19/08/2019
20/08/2019,138.210007,138.710007,137.240005,137.259995,132.087952,21170800,20/08/2019
21/08/2019,138.550003,139.490005,138,138.789993,133.560272,14970300,21/08/2019
22/08/2019,138.660004,139.199997,136.289993,137.779999,132.588333,18697000,22/08/2019
23/08/2019,137.190002,138.350006,132.800003,133.389999,128.36377,38508600,23/08/2019
26/08/2019,134.990005,135.559998,133.899994,135.449997,130.346146,20312600,26/08/2019
27/08/2019,136.389999,136.720001,134.660004,135.740005,130.625244,23102100,27/08/2019
28/08/2019,134.880005,135.759995,133.550003,135.559998,130.451981,17393300,28/08/2019
29/08/2019,137.25,138.440002,136.910004,138.119995,132.915512,20168700,29/08/2019
30/08/2019,139.149994,139.179993,136.270004,137.860001,132.665314,23940100,30/08/2019
3/09/2019,136.610001,137.199997,135.699997,136.039993,130.913895,18869300,3/09/2019
4/09/2019,137.300003,137.690002,136.479996,137.630005,132.443985,17995900,4/09/2019
5/09/2019,139.110001,140.380005,138.759995,140.050003,134.772842,26101800,5/09/2019
6/09/2019,140.029999,140.179993,138.199997,139.100006,133.858643,20824500,6/09/2019
9/09/2019,139.589996,139.75,136.460007,137.520004,132.338165,25773900,9/09/2019
10/09/2019,136.800003,136.889999,134.509995,136.080002,130.952377,28903400,10/09/2019
11/09/2019,135.910004,136.270004,135.089996,136.119995,130.990875,24726100,11/09/2019
12/09/2019,137.850006,138.419998,136.869995,137.520004,132.338165,27010000,12/09/2019
13/09/2019,137.779999,138.059998,136.570007,137.320007,132.145706,23363100,13/09/2019
16/09/2019,135.830002,136.699997,135.660004,136.330002,131.192978,16731400,16/09/2019
17/09/2019,136.960007,137.520004,136.429993,137.389999,132.213043,17814200,17/09/2019
18/09/2019,137.360001,138.669998,136.529999,138.520004,133.300461,23982100,18/09/2019
19/09/2019,140.300003,142.369995,140.070007,141.070007,135.754379,35772100,19/09/2019
20/09/2019,141.009995,141.649994,138.25,139.440002,134.185822,39167300,20/09/2019
23/09/2019,139.229996,139.630005,138.440002,139.139999,133.897125,17139300,23/09/2019
24/09/2019,140.360001,140.690002,136.880005,137.380005,132.20343,29773200,24/09/2019
25/09/2019,137.5,139.960007,136.029999,139.360001,134.108826,21382000,25/09/2019
26/09/2019,139.440002,140.179993,138.440002,139.539993,134.282043,17456600,26/09/2019
27/09/2019,140.149994,140.360001,136.649994,137.729996,132.540237,22477700,27/09/2019
30/09/2019,138.050003,139.220001,137.779999,139.029999,133.79126,17280900,30/09/2019
1/10/2019,139.660004,140.25,137,137.070007,131.905121,21466600,1/10/2019
2/10/2019,136.25,136.369995,133.580002,134.649994,129.576279,30521700,2/10/2019
3/10/2019,134.949997,136.75,133.220001,136.279999,131.144897,24132900,3/10/2019
4/10/2019,136.75,138.25,136.419998,138.119995,132.915512,22897700,4/10/2019
7/10/2019,137.139999,138.179993,137.020004,137.119995,131.953201,15303700,7/10/2019
8/10/2019,137.080002,137.759995,135.619995,135.669998,130.557831,25550500,8/10/2019
9/10/2019,137.460007,138.699997,136.970001,138.240005,133.031006,19749900,9/10/2019
10/10/2019,138.490005,139.669998,138.25,139.100006,133.858643,17654600,10/10/2019
11/10/2019,140.119995,141.029999,139.5,139.679993,134.416763,25446000,11/10/2019
14/10/2019,139.690002,140.289993,139.520004,139.550003,134.291672,13304300,14/10/2019
15/10/2019,140.059998,141.789993,139.809998,141.570007,136.23558,19695700,15/10/2019
16/10/2019,140.789993,140.990005,139.529999,140.410004,135.119278,20751600,16/10/2019
17/10/2019,140.949997,141.419998,139.020004,139.690002,134.426361,21460600,17/10/2019
18/10/2019,139.759995,140,136.559998,137.410004,132.2323,32273500,18/10/2019
21/10/2019,138.449997,138.5,137.009995,138.429993,133.213852,20078200,21/10/2019
22/10/2019,138.970001,140.009995,136.259995,136.369995,131.231506,27431000,22/10/2019
23/10/2019,136.880005,137.449997,135.610001,137.240005,132.06871,29844600,23/10/2019
24/10/2019,139.389999,140.419998,138.669998,139.940002,134.666977,37029300,24/10/2019
25/10/2019,139.339996,141.139999,139.199997,140.729996,135.42717,25959700,25/10/2019
28/10/2019,144.399994,145.669998,143.509995,144.190002,138.756805,35280100,28/10/2019
29/10/2019,144.080002,144.5,142.649994,142.830002,137.448059,20589500,29/10/2019
30/10/2019,143.520004,145,142.789993,144.610001,139.16098,18496600,30/10/2019
31/10/2019,144.899994,144.929993,142.990005,143.369995,137.967743,24605100,31/10/2019
1/11/2019,144.259995,144.419998,142.970001,143.720001,138.304504,33128400,1/11/2019
4/11/2019,144.830002,145,144.160004,144.550003,139.103256,16912000,4/11/2019
5/11/2019,144.970001,145.020004,143.910004,144.460007,139.016663,18250200,5/11/2019
6/11/2019,144.369995,144.520004,143.199997,144.059998,138.631714,16575800,6/11/2019
7/11/2019,143.839996,144.880005,143.770004,144.259995,138.824173,17786700,7/11/2019
8/11/2019,143.979996,145.990005,143.759995,145.960007,140.460114,16732700,8/11/2019
11/11/2019,145.339996,146.419998,144.729996,146.110001,140.604477,14362600,11/11/2019
12/11/2019,146.279999,147.570007,146.059998,147.070007,141.528336,18641600,12/11/2019
13/11/2019,146.740005,147.460007,146.279999,147.309998,141.759247,16919200,13/11/2019
14/11/2019,147.020004,148.410004,147,148.059998,142.480988,19729800,14/11/2019
15/11/2019,148.929993,149.990005,148.270004,149.970001,144.319031,23485700,15/11/2019
18/11/2019,150.070007,150.550003,148.979996,150.339996,144.675064,21534000,18/11/2019
19/11/2019,150.880005,151.330002,150.199997,150.389999,144.723236,23935700,19/11/2019
20/11/2019,150.309998,150.839996,148.460007,149.619995,144.472137,25696800,20/11/2019
21/11/2019,149.399994,149.800003,148.5,149.479996,144.33696,18576100,21/11/2019
